Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-05-22 08:38:40,false,"San Antonio Running","2.59","267","00:31:13","142","163","2.8","156","162","12:04","10:23","135","174","0.86","12:14","225","0.0","219","316","4,856","No","00:07:12.9","3","00:30:36","00:32:33","868","949"
Running,2026-05-21 08:57:30,false,"San Antonio Running","2.51","268","00:30:03","151","174","2.9","157","165","11:58","10:20","154","148","0.86","12:02","226","0.0","223","309","4,720","No","00:06:10.5","3","00:29:50","00:31:36","857","927"
Running,2026-05-19 07:59:10,false,"San Antonio Running","2.51","269","00:30:05","151","170","2.9","156","163","12:00","10:34","151","171","0.86","12:04","229","0.0","224","339","4,668","No","00:06:10.8","3","00:30:02","00:30:05","881","946"
Running,2026-05-18 07:25:29,false,"San Antonio Running","2.48","260","00:30:07","144","166","2.7","156","162","12:08","11:06","151","154","0.85","12:09","228","0.0","222","352","4,670","No","00:05:43.3","3","00:30:02","00:30:07","878","926"
Running,2026-05-15 08:37:50,false,"San Antonio Running","2.56","267","00:30:10","148","169","2.8","158","165","11:48","10:16","171","171","0.86","11:49","234","0.0","228","335","4,752","No","00:06:37.9","3","00:30:06","00:30:10","875","922"
Running,2026-05-13 08:43:46,false,"San Antonio Running","2.10","223","00:25:02","144","159","2.7","158","163","11:54","10:27","128","138","0.85","11:48","228","0.0","224","310","3,966","No","00:01:19.9","3","00:24:57","00:25:02","886","930"
Running,2026-05-12 08:39:10,false,"San Antonio Running","2.72","290","00:30:03","151","171","3.4","157","167","11:03","9:37","115","121","0.93","11:08","241","0.0","237","311","4,718","No","00:08:20.8","3","00:29:44","00:31:16","832","907"
Running,2026-05-11 08:05:46,false,"San Antonio Running","3.02","319","00:30:02","159","187","3.9","158","174","9:56","7:22","190","194","1.03","10:02","276","0.0","267","374","4,768","No","00:00:15.6","4","00:29:25","00:30:37","887","957"
Running,2026-04-27 07:45:43,false,"College Station Running","2.53","273","00:26:22","158","181","3.8","151","167","10:25","4:20","56","85","1.02","10:37","265","0.0","249","545","4,008","No","00:04:55.3","3","00:24:47","00:26:37","309","380"
Running,2026-04-13 07:47:51,false,"College Station Running","2.60","275","00:28:28","151","170","3.4","158","167","10:57","9:43","59","59","0.93","11:13","240","0.0","236","307","4,512","No","00:06:33.9","3","00:27:50","00:31:23","306","360"
Running,2026-04-10 07:32:12,false,"College Station Running","2.52","260","00:24:54","156","181","3.8","158","172","9:53","8:13","69","56","1.03","9:56","267","0.0","262","315","3,954","No","00:04:55.3","3","00:24:40","00:25:01","307","356"
Running,2026-04-08 07:28:24,false,"College Station Running","2.59","270","00:27:11","153","176","3.5","156","163","10:31","9:08","59","56","0.98","10:40","248x","0.0","246","290","4,226","No","00:06:09.6","3","00:26:55","00:28:07","308","365"
Running,2026-04-03 08:24:46,false,"College Station Running","2.45","261","00:27:21","155","172","3.3","155","163","11:11","9:53","56","52","0.93","11:26","230","0.0","227","270","4,276","No","00:05:12.8","3","00:26:53","00:29:05","302","360"
Running,2026-04-01 06:58:23,false,"College Station Running","2.68","280","00:30:01","148","167","3.2","155","161","11:13","10:18","59","62","0.92","11:22","236","0.0","233","319","4,644","No","00:07:29.9","3","00:29:46","00:30:13","299","354"
Running,2026-03-23 07:37:09,false,"College Station Running","2.59","263","00:28:55","141","150","3.0","155","163","11:10","10:03","66","59","0.93","11:17","234","0.0","231","276","4,498","No","00:06:29.8","3","00:28:40","00:32:58","301","362"
Running,2026-03-21 07:41:28,false,"College Station Running","3.17","328","00:35:13","148","170","3.2","155","165","11:07","10:01","52","49","0.93","11:21","233","0.0","230","275","5,458","No","00:01:46.0","4","00:34:47","00:35:39","295","344"
Running,2026-03-20 07:21:06,false,"College Station Running","2.68","267","00:30:02","141","151","2.9","156","163","11:13","10:05","69","59","0.92","11:21","232","0.0","230","279","4,684","No","00:07:27.4","3","00:29:45","00:32:39","306","361"
Running,2026-03-18 07:23:41,false,"College Station Running","2.50","251","00:30:01","142","167","2.5","156","167","12:00","9:13","66","43","0.86","12:12","218","0.0","215","288","4,718","No","00:05:58.1","3","00:29:32","00:31:59","299","353"
Running,2026-03-01 07:08:41,false,"San Antonio Running","26.23","2,862","04:57:15","169","188","5.0","155","202","11:20","6:01","676","712","0.92","11:21","239","0.0","230","416","46,082","No","00:02:46.5","27","04:55:37","04:58:34","506","690"
Running,2026-02-28 20:17:40,false,"San Antonio Running","1.00","103","00:11:56","137","154","2.0","156","165","11:54","10:29","56","59","0.87","11:55","229","0.0","225","314","1,868","No","00:00:01.4","2","00:11:55","00:11:56","894","938"
Running,2026-02-27 07:42:33,false,"College Station Running","3.16","314","00:35:48","139","149","2.6","158","167","11:21","9:33","59","52","0.90","11:33","228","0.0","227","277","5,666","No","00:01:47.0","4","00:35:31","00:39:23","313","350"
Running,2026-02-23 18:07:55,false,"College Station Running","4.00","405","00:47:00","139","156","2.7","159","165","11:44","10:53","43","46","0.86","11:51","222","0.0","220","272","7,462","No","00:00:01.6","5","00:46:48","00:47:27","321","348"
Running,2026-02-22 08:11:03,false,"College Station Running","6.00","611","01:08:05","146","166","3.2","158","177","11:20","10:14","184","154","0.90","11:29","234","0.0","231","347","10,774","No","00:00:02.4","7","01:07:14","01:25:31","275","352"
Running,2026-02-21 08:07:30,false,"College Station Running","4.00","397","00:46:51","141","150","2.7","157","168","11:42","10:16","89","98","0.88","11:55","381","0.0","237","1,715","7,370","No","00:00:01.6","5","00:46:24","00:50:23","292","348"
Running,2026-02-20 07:25:32,false,"College Station Running","5.00","501","00:54:20","143","168","3.2","159","167","10:52","9:59","108","154","0.93","11:00","244","0.0","241","300","8,636","No","00:00:02.1","6","00:53:58","00:55:05","290","381"
Running,2026-02-18 07:19:54,false,"College Station Running","5.00","509","00:50:41","155","182","3.7","158","169","10:08","9:02","89","141","1.01","10:21","261","0.0","256","342","8,026","No","00:09:41.8","5","00:49:57","00:52:59","309","396"
Running,2026-02-16 17:33:51,false,"College Station Running","5.00","496","00:56:25","143","163","3.0","157","165","11:16","10:05","82","151","0.91","11:29","230","0.0","228","286","8,906","No","00:00:02.2","6","00:55:54","00:58:48","291","402"
Running,2026-02-15 15:36:24,false,"College Station Running","10.01","1,009","01:52:39","148","175","3.8","157","167","11:16","9:47","259","256","0.91","11:22","235","0.0","234","296","17,768","No","00:00:03.1","11","01:51:51","01:57:28","287","359"
Running,2026-02-11 17:37:52,false,"College Station Running","6.00","594","01:05:29","144","172","3.3","158","166","10:54","8:54","95","112","0.93","11:08","236","0.0","234","288","10,398","No","00:00:02.7","7","01:04:32","01:10:28","290","359"
Running,2026-02-04 17:17:05,false,"College Station Running","7.51","687","01:10:05","155","192","4.1","161","173","9:20","7:21","184","174","1.07","9:29","292","0.0","280","407","11,320","No","00:06:21.2","8","01:09:07","01:17:54","291","360"
Running,2026-02-02 16:43:04,false,"College Station Running","7.00","703","01:18:57","146","178","3.2","158","167","11:16","9:55","128","148","0.91","11:31","234","0.0","231","306","12,546","No","00:00:01.8","8","01:17:34","01:31:24","293","371"
Running,2026-02-01 15:46:55,false,"College Station Running","13.40","1,379","02:40:03","157","181","4.0","159","167","11:57","10:14","292","276","0.85","12:02","219","0.0","218","291","25,430","No","00:04:50.9","14","02:39:18","02:48:26","283","371"
Running,2026-01-31 16:59:30,false,"College Station Running","6.00","590","01:10:15","138","149","3.0","160","167","11:42","8:43","118","118","0.86","11:52","226","0.0","223","317","11,226","No","00:00:02.2","7","01:09:27","01:13:13","284","350"
Running,2026-01-30 07:52:32,false,"College Station Running","7.01","704","01:19:27","147","170","3.3","159","171","11:20","9:33","128","135","0.89","11:28","233","0.0","231","325","12,664","No","00:00:03.1","8","01:18:36","01:22:02","273","348"
Running,2026-01-28 19:33:55,false,"College Station Running","7.01","697","01:07:32","162","202","4.6","158","171","9:38","8:02","108","138","1.06","9:49","274","0.0","266","349","10,680","No","00:00:05.3","8","01:06:03","01:11:48","295","364"
Running,2026-01-26 18:13:20,false,"College Station Running","5.01","498","00:58:13","138","151","2.9","157","172","11:37","9:57","92","95","0.88","11:41","228","0.0","223","283","9,170","No","00:00:10.1","6","00:57:47","00:58:40","294","348"
Running,2026-01-23 08:15:53,false,"College Station Running","6.00","619","01:08:00","153","176","3.3","157","167","11:19","9:53","82","105","0.91","11:31","229","0.0","227","312","10,714","No","00:00:02.7","7","01:07:04","01:12:29","301","360"
Running,2026-01-21 18:02:22,false,"College Station Running","1.00","107","00:11:11","155","168","2.1","154","161","11:08","10:29","16","7","0.94","11:20","233","0.0","230","265","1,744","No","00:00:02.4","2","00:11:00","00:11:59","312","333"
Running,2026-01-21 17:46:48,false,"College Station Running","1.40","139","00:12:24","172","182","2.9","156","167","8:50","7:34","3","33","1.17","9:08","288","0.0","284","359","1,948","No","00:03:32.1","2","00:12:09","00:13:27","313","351"
Running,2026-01-21 16:57:09,false,"College Station Running","4.64","448","00:44:06","155","182","3.9","156","167","9:30","8:23","75","89","1.08","9:38","277","0.0","271","357","6,932","No","00:05:37.8","5","00:43:42","00:47:30","291","356"
Running,2026-01-19 18:08:31,false,"College Station Running","6.88","738","01:20:02","167","184","3.6","158","165","11:38","10:32","118","157","0.88","11:39","225","0.0","223","278","12,602","No","00:10:01","7","01:19:53","01:22:28","314","393"
Running,2026-01-18 09:05:08,false,"College Station Running","11.01","1,115","02:08:07","137","174","3.8","159","167","11:38","10:05","207","213","0.87","11:45","224","0.0","222","281","20,440","No","00:00:05.7","12","02:07:10","02:26:48","288","364"
Running,2026-01-17 08:31:53,false,"College Station Running","6.01","639","01:12:21","163","184","3.3","159","167","12:03","10:16","115","125","0.84","12:06","222","0.0","220","347","11,504","No","00:00:04.3","7","01:12:09","01:12:53","288","362"
Running,2026-01-16 07:23:24,false,"College Station Running","7.00","732","01:23:04","156","181","3.4","158","165","11:52","9:57","151","164","0.86","11:58","220","0.0","218","289","13,196","No","00:00:00.9","8","01:22:26","01:28:10","288","360"
Running,2026-01-14 07:21:14,false,"College Station Running","6.00","615","01:01:52","161","182","4.1","158","169","10:18","8:54","102","112","0.99","10:30","255","0.0","250","339","9,792","No","00:00:02.4","7","01:01:03","01:06:20","285","346"
Running,2026-01-12 18:24:04,false,"College Station Running","5.23","531","01:02:13","147","173","3.1","155","164","11:54","10:12","102","102","0.87","12:02","219","0.0","218","261","9,658","No","00:02:45.3","6","01:01:52","01:03:37","297","360"
Running,2026-01-09 08:50:26,false,"San Antonio Running","5.00","513","00:56:49","149","175","3.3","155","163","11:21","9:25","305","315","0.91","11:25","236","0.0","232","335","8,812","No","00:00:02.1","6","00:56:12","01:00:19","860","934"
Running,2026-01-08 08:36:36,false,"San Antonio Running","5.00","509","00:58:15","146","170","3.2","156","167","11:39","9:33","318","338","0.89","11:40","232","0.0","228","321","9,064","No","00:00:02.2","6","00:57:52","01:00:01","867","956"
Running,2026-01-07 08:30:55,false,"San Antonio Running","6.00","592","01:08:05","141","176","3.3","156","168","11:20","9:18","341","361","0.91","11:26","236","0.0","232","343","10,676","No","00:00:02.8","7","01:07:30","01:10:53","862","951"
Running,2026-01-06 09:03:30,false,"San Antonio Running","5.00","505","00:59:22","146","166","3.1","157","167","11:52","10:09","285","325","0.86","11:54","226","0.0","223","323","9,328","No","00:00:02.1","6","00:59:10","01:01:07","869","953"
Running,2026-01-05 08:47:33,false,"San Antonio Running","5.00","530","00:59:00","155","178","3.5","156","167","11:47","9:51","289","331","0.87","11:51","228","0.0","224","328","9,220","No","00:00:02.2","6","00:58:48","00:59:35","877","955"
Running,2026-01-03 08:26:44,false,"San Antonio Running","7.00","756","01:21:02","156","179","4.5","155","165","11:34","9:59","443","463","0.90","11:38","233","0.0","229","333","12,500","No","00:00:02.5","8","01:20:26","01:22:59","864","955"
Running,2026-01-02 08:40:14,false,"San Antonio Running","5.01","499","00:57:25","142","153","3.5","157","167","11:28","9:39","279","302","0.90","11:30","237","0.0","232","368","8,988","No","00:00:02.9","6","00:57:12","00:58:00","884","963"
Running,2025-12-31 08:45:13,false,"San Antonio Running","5.01","517","00:58:04","147","178","3.7","156","167","11:36","9:27","325","325","0.89","11:34","235","0.0","231","332","9,018","No","00:00:04.0","6","00:57:50","00:58:53","874","959"
Running,2025-12-30 08:24:33,false,"San Antonio Running","5.01","537","00:59:10","157","180","3.9","157","169","11:49","10:18","266","269","0.87","11:48","229","0.0","227","298","9,266","No","00:00:05.3","6","00:58:53","00:59:55","883","947"
Running,2025-12-27 08:38:18,false,"San Antonio Running","5.00","551","00:57:32","162","179","4.4","155","165","11:30","7:59","295","302","0.90","11:33","235","0.0","230","320","8,876","No","00:00:02.0","6","00:57:09","00:58:19","874","943"
Running,2025-12-26 09:04:00,false,"San Antonio Running","5.00","499","00:58:04","137","182","3.5","155","165","11:36","10:12","295","299","0.90","11:39","233","0.0","229","336","8,974","No","00:00:01.7","6","00:57:30","00:58:47","872","943"
Running,2025-12-22 09:42:07,false,"San Antonio Running","5.01","529","00:58:00","153","178","3.9","156","163","11:35","9:59","289","282","0.89","11:38","233","0.0","229","336","9,056","No","00:00:03.0","6","00:57:39","01:00:22","873","940"
Running,2025-12-20 09:16:20,false,"San Antonio Running","4.00","394","00:46:02","136","154","3.2","157","173","11:30","9:47","236","226","0.89","11:28","239","0.0","234","336","7,214","No","00:00:02.1","5","00:45:56","00:46:02","885","934"
